Name,Units,Calories,Calories From Fat,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbs,Dietary Fiber,Total Sugars,Added Sugars,Protein,Potassium,Comments
publix ultimate sub on white,1 whole sub,860,0,26,10,0,120,2640,96,6,6,0,60,0,
raisins,1/4 cup,120,0,0,0,0,0,10,31,2,26,0,1,300,sunmaid golden raisins
raspberry vinaigrette salad,1 bowl,355,173,19,4,0,10,338,41,6.1,29.2,7,7,573,
red pepper,1 large,51,4.4,0.5,0,0,0,6.6,10,3.4,6.9,0,1.6,346,
red wine vinegar,1 tsp,1,0,0,0,0,0,0,0,0,0,0,0,2,
relish,1 Tbsp,15,0,0,0,0,0,140,3,0,3,2,0,0,vlasic sweet relish
remoulade sauce,2 tbsp,150,140,15,2.5,0,15,230,4,1,3,3,1,0,
reuben sandwich - corned beef,1 sandwich,732,290,46,13,0,120,2360,46,2.4,9.2,6,34,110,
reuben sandwich - pastrami,1 sandwich,732,300,47,13,0,120,2580,46,2.4,9.2,6,32,110,
ribeye steak,3 oz,230,146,16,7.2,0,66,49,0,0,0,0,21,237,
rice,1 cup,250,0,2.5,0,0,0,10,52,1,0,0,5,60,
roast beef lunch meat low sodium,2 oz (2 slices),90,25,3,1,0,35,80,1,0,0,0,15,180,boar's head
romaine lettuce,2 cups,16,16,0.2,0,0,0,8,3,2,1.2,0,1.2,232,
rotisserie chicken,24 oz whole,1240,621,69,22,0.5,685,1730,3,2,0,0,154,0,
salad dressing 1000 island ken's,2 Tbsp,140,120,14,2,0,15,240,4,0,4,4,0,0,
salad dressing 1000 island maries,2 Tbsp,150,140,15,2.5,0,10,200,3,0,3,3,0,0,
salad dressing blue cheese ken's,2 Tbsp,150,140,16,2.5,0,0,290,1,0,1,1,0,0,
sauerkraut boarshead,2 Tbsp,5,0,0,0,0,0,180,1,0,0,0,0,0,
sea scallops,1 each,25,0,0.25,0,0,11,58,0,0,0,0,5,0,1.3 scallop per  ounce
seeded rye bread,1 slice,91,0,0.9,0,0,0,225,18.2,1.2,0.6,0,3,55,1 thin slice
shell macaroni,1 cup (2 oz),200,0,1,0,0,0,0,42,2,2,0,7,94,
shredded cheese,1/4 cup,110,0,9,6,0,30,180,3,0,0,0,7,20,
shredded wheat,1 biscuit,90,0,0.5,0,0,0,0,20,3,0,0,3,110,
shredded wheat cereal breakfast,1 bowl,257,2,1,0,0,5,107,55,5,28,0,12,805,
shrimp,1 each,8,1,0.1,0,0,14,20,0,0,0,0,1.75,0,4 shrimp per ounce
skyline chili,1 container,380,0,23,9,0,110,1620,7,2,2,0,36,720,
